NoC,Code,Name,Rain,Wind
1,310101,Huangpu,102.165522454503,22.0410526558724
1,310101,Huangpu,54.2274121520105,11.9613103567749
1,310101,Huangpu,53.5333091447193,17.3525449333488
1,310101,Huangpu,61.3388598311513,15.2005932951217
1,310101,Huangpu,59.6018734202637,11.8223452282255
1,310101,Huangpu,52.9260756536708,12.9456585080993
1,310101,Huangpu,96.4397920807433,15.7819839517042
1,310101,Huangpu,54.0938347388027,16.4888345696822
1,310101,Huangpu,56.6767356801809,12.606563724818
1,310101,Huangpu,153.78976276634,14.8275305723163
1,310101,Huangpu,59.1953408097498,14.3160789874024
1,310101,Huangpu,56.7162446082366,15.7191654055995
1,310101,Huangpu,77.1961934918309,16.9709491732492
1,310101,Huangpu,58.0826266583329,10.7699127972131
1,310101,Huangpu,67.2054821759796,13.884270669521
1,310101,Huangpu,62.1440201590917,11.3806249405509
1,310101,Huangpu,60.2486989834561,12.205196023533
1,310101,Huangpu,65.5787070170385,13.2493299203006
1,310101,Huangpu,121.320944332337,13.4766715104136
1,310101,Huangpu,80.2049531731828,15.0011382013675
1,310101,Huangpu,114.952924914673,17.2431267470331
1,310101,Huangpu,60.3280295505275,12.8547509247467
1,310101,Huangpu,51.7439898304519,10.0630505229588
1,310101,Huangpu,57.9586233695712,21.5332210100863
1,310101,Huangpu,57.8714858249869,11.9950428076017
1,310101,Huangpu,79.8910146171364,11.3174118091148
1,310101,Huangpu,55.6934832743086,17.6223893173265
1,310101,Huangpu,57.8661921117429,12.7315560488013
1,310101,Huangpu,55.6110634559057,18.5083205374243
1,310101,Huangpu,53.0720745563345,12.3598656848227
1,310101,Huangpu,80.379875503124,27.3468639215861
1,310101,Huangpu,74.9342553912269,17.7999999999996
1,310101,Huangpu,65.6571796739702,14.7999999999996
1,310101,Huangpu,102.796488717908,19.2000000000005
1,310101,Huangpu,66.6267128012119,18.5999999999996
1,310101,Huangpu,61.1512707548818,19.3648633195488
1,310101,Huangpu,92.8557696869298,16.8455015506448
1,310101,Huangpu,56.4344456758071,14.7301449766872
1,310101,Huangpu,64.913996040542,18.1616456000824
1,310101,Huangpu,74.7543501582111,16.0006693655313
1,310101,Huangpu,74.6049894378148,14.3478943952423
1,310101,Huangpu,72.8726373893891,11.2864358222894
1,310101,Huangpu,64.3108768681088,12.321745570529
1,310101,Huangpu,63.1726030695364,23.9847547002236
1,310101,Huangpu,75.6847422175535,14.6365733757726
1,310101,Huangpu,104.611515268932,14.9428445030502
1,310101,Huangpu,56.9898379777814,11.0035253270174
1,310101,Huangpu,84.0346485187402,11.5715020601895
1,310101,Huangpu,84.7594403028746,11.8017200083434
1,310101,Huangpu,77.1004881526179,18.1346076752777
1,310101,Huangpu,84.525646266486,11.3354404258596
1,310101,Huangpu,63.4721300436244,11.5333629146092
1,310101,Huangpu,55.3843666932589,12.5467708982599
1,310101,Huangpu,53.2230196753105,16.7834171307895
1,310101,Huangpu,55.6858462853282,10.3330329087405
1,310101,Huangpu,61.3944485603077,18.359296459263
1,310101,Huangpu,84.4662670231989,11.1995651494685
1,310101,Huangpu,62.7476732208884,19.7715050666774
1,310101,Huangpu,82.2609177554807,14.3161809839925
1,310101,Huangpu,53.6535292164438,10.4542164626685
1,310101,Huangpu,95.5466945780761,13.540595155482
1,310101,Huangpu,102.885644572275,18.0981807219641
1,310101,Huangpu,61.2019332203934,16.3603651373112
1,310101,Huangpu,63.4670566044857,13.2059024971875
1,310101,Huangpu,63.7641735432326,11.83846756119
1,310101,Huangpu,61.7769227160033,13.0273647464825
2,310103,Luwan,51.1417327210138,12.0187024627223
2,310103,Luwan,57.2807175010294,12.9119202278382
2,310103,Luwan,80.6966659479406,17.6913814114411
2,310103,Luwan,61.7764368197315,15.9735799862647
2,310103,Luwan,53.7488703694387,13.8943631505329
2,310103,Luwan,58.5848983938392,17.0659981406135
2,310103,Luwan,73.972093527629,18.1139780235718
2,310103,Luwan,65.5968239540999,16.8212265768354
2,310103,Luwan,52.4462893889127,14.9266499866495
2,310103,Luwan,50.035162053497,13.2290169652544
2,310103,Luwan,67.3339909235071,17.7856289818944
2,310103,Luwan,70.4851419520163,12.407781665102
2,310103,Luwan,79.8836285117425,14.5597979510978
2,310103,Luwan,75.9558225322788,14.1528035870348
2,310103,Luwan,70.3377432079144,26.2656614196733
2,310103,Luwan,74.0047306897878,15.8371384665257
2,310103,Luwan,58.5169284019292,12.3080834087795
2,310103,Luwan,66.7021924876878,17.1030483159985
2,310103,Luwan,54.7657109073124,11.5769934042771
2,310103,Luwan,52.6242641879251,12.7605769741206
